meetinghouse_id,assignment_id,assignment_type,assignment_name
5443652-01-01,220175,ward,Cantareira Ward
5443652-01-01,88536,ward,Tucuruvi Ward
5980739-01-01,365785,ward,San Quintin Branch
5012267-01-01,2059339,ward,Elk Ridge  9th Branch (Care Center)
5283078-01-01,150282,ward,Ukat Aran 1st Ward
5283078-01-01,417106,ward,Ukat Aran 2nd Ward
5283078-01-01,273759,stake,Ukat Aran Nigeria Stake
5283078-01-01,273759,stakecenter,Ukat Aran Nigeria Stake
5999538-01-01,419176,ward,Parry Sound Branch
5950058-01-01,344761,ward,Acome Ward
5950058-01-01,1404172,ward,El Naranjo Ward
5049997-01-01,75345,ward,Idaho Falls 31st Ward
5049997-01-01,27642,ward,Rose Park Ward
5447798-01-01,224928,ward.student,University Park Branch (Student)
5013491-01-01,203866,ward,Carmen Branch
5186692-01-01,250597,ward,El Inca Ward
5186692-01-01,127175,ward,La Luz Ward
5490839-01-01,495395,ward,Monte Cristal Ward
5490839-01-01,343676,ward,Nueva Aurora Ward
5490839-01-01,204897,ward,Tres Caminos Ward
5490839-01-01,520144,stake,Monterrey México Los Angeles Stake
5490839-01-01,520144,stakecenter,Monterrey México Los Angeles Stake
5490839-01-01,398632,familysearchcenter,Monterrey Mexico Los Angeles Family History Center
5247128-01-01,264555,ward,Coconut Creek Ward
5247128-01-01,460583,ward.haitiancreole,Lyons Ward (Haitian-Creole)
5247128-01-01,2041340,ward.portuguese,Boca Rio Ward (Portuguese)
5055083-01-01,49786,ward,Selma Branch
5000892-01-01,2041987,ward,Almendros Ward
5000892-01-01,1802992,ward,Caucel Ward
5000892-01-01,202991,ward,Pensiones Ward
5493927-01-01,2021609,ward,American Denj Ward
5493927-01-01,260010,ward,Bayanzurkh Ward
5493927-01-01,530174,ward,Sansar Ward
5493927-01-01,617261,stake,Ulaanbaatar Mongolia East Stake
5493927-01-01,1065025,stake,Ulaanbaatar Mongolia West Stake
5493927-01-01,617261,stakecenter,Ulaanbaatar Mongolia East Stake
5493927-01-01,1065025,stakecenter,Ulaanbaatar Mongolia West Stake
5493927-01-01,472395,employmentcenter,Ulaanbaatar Mongolia PEF Self Reliance Center
5493927-01-01,406546,familysearchcenter,Ulaanbaatar Mongolia Family History Center
5155231-01-01,103314,ward,Meito Ward
5155231-01-01,528900,stake,Nagoya Japan East Stake
5155231-01-01,528900,stakecenter,Nagoya Japan East Stake
5155231-01-01,406449,familysearchcenter,Meito Japan Family History Center
5010081-01-01,1997475,ward,Caxias Branch
5231825-01-01,56979,ward,Valladolid 1st Ward
5231825-01-01,290238,ward,Valladolid 2nd Ward
5236614-01-01,162361,ward,Klein Ward
5236614-01-01,221899,ward,Kleinwood Ward
5236614-01-01,2068753,ward,Wimbledon Ward
5236614-01-01,437417,stake,Klein Texas Stake
5236614-01-01,437417,stakecenter,Klein Texas Stake
5236614-01-01,3339963,familysearchcenter,Klein Texas Family History Center
5182999-01-01,109843,ward,Wels Ward
5182999-01-01,394335,familysearchcenter,Wels Austria Family History Center
5429153-01-01,225304,ward,Bani  2nd Branch
5429153-01-01,560200,familysearchcenter,Bani Dominican Republic Family History Center
5013855-01-01,2087715,ward,Mockeyville Ward
5005674-01-01,388483,ward,Owerri Ward
5005674-01-01,528218,stake,Owerri Nigeria Stake
5005674-01-01,528218,stakecenter,Owerri Nigeria Stake
5005674-01-01,395560,familysearchcenter,Owerri Nigeria Family History Center
5002947-01-01,114251,ward,Santander Ward
5010437-01-01,2027577,ward,Assin Akrofuom Branch
5054583-01-01,378445,ward.ysa,Longfellow Park YSA Ward
5054583-01-01,1061666,ward.singleadult,Charles River Ward (Single Adult)
5054583-01-01,75892,ward.studentsingle,Mount Auburn Ward (Student Single)
5009598-01-01,165123,ward,Watford City Ward
5007690-01-01,2140756,ward,Freedom Park Ward
5007690-01-01,200883,ward.spanish,Chamblee Branch (Spanish)
5007690-01-01,525286,stake,Atlanta Georgia Stake
5007690-01-01,525286,stakecenter,Atlanta Georgia Stake
5781884-01-01,321796,ward,Mapastepec Branch
5887797-01-01,344885,ward,Laguna Seca Branch
9500375-01-01,222801,ward,Orchard Branch (Care Center)
5076579-01-01,3158,ward,Magna Ward
5076579-01-01,5096,ward,Spencer  1st Ward
5076579-01-01,470627,ward.spanish,Pleasant Green  2nd Ward (Spanish)
5076579-01-01,500925,stake,Magna Utah Stake
5076579-01-01,500925,stakecenter,Magna Utah Stake
5430798-01-01,319848,ward,Saint Quentin Ward
5430798-01-01,393363,familysearchcenter,Saint Quentin France Family History Center
5874270-01-01,361216,ward,Liberec Branch
5313090-01-01,183938,ward,Insurgentes Ward
5020484-01-01,479330,ward.tongan,San Jose  1st Ward (Tongan)
5229103-01-01,23086,ward,Pocatello  7th Ward
5229103-01-01,162523,ward,Pocatello 48th Ward
5229103-01-01,516368,stake,Pocatello Idaho Tyhee Stake
5229103-01-01,516368,stakecenter,Pocatello Idaho Tyhee Stake
5536413-01-01,6173,ward,Plain City  2nd Ward
5536413-01-01,360015,ward,Plain City  7th Ward
5536413-01-01,2037068,ward,Plain City 8th Ward
5359309-01-01,287350,ward,Avellaneda Ward
5005672-01-01,1462172,ward,Ananeraie Ward
5005672-01-01,2143925,ward,Bonikro Ward
5005672-01-01,2081164,ward,Mamie Adjoua Ward
5005672-01-01,1171968,stake,Abidjan Cote d'Ivoire Niangon North Stake
5005672-01-01,1171968,stakecenter,Abidjan Cote d'Ivoire Niangon North Stake
5192951-02-01,104477,ward,Cordova Branch
5192951-02-01,3329569,familysearchcenter,Cordova Alaska Family History Center
5017718-01-01,66621,ward,Flensburg Branch
5010329-01-01,2025280,ward,Kambuzuma Branch
5011665-01-01,2097761,ward,Maya Mopan Branch
5002484-01-01,532460,ward,Ciudad Nueva Ward
5002484-01-01,523585,stake,Choluteca Honduras Stake
5002484-01-01,523585,stakecenter,Choluteca Honduras Stake
5002484-01-01,396907,familysearchcenter,Choluteca Honduras Family History Center
5225914-01-01,248525,ward,Puerta Grande Ward
5005398-01-01,1112767,ward,Cuajinicuilapa Branch
5899125-01-01,373559,ward,Portal Branch
5315891-01-01,1675176,ward,Chapin Ward
5315891-01-01,158445,ward,Dutch Fork Ward
5315891-01-01,246123,ward,Irmo Ward
5240514-01-01,160806,ward,Pine View Ward
5240514-01-01,379301,ward,Sage Creek Ward
5240514-01-01,1007211,ward.spanish,Paradise Ward (Spanish)
5240514-01-01,518557,stake,St George Utah Pine View Stake
5240514-01-01,518557,stakecenter,St George Utah Pine View Stake
5109302-01-01,32980,ward,Lamar Ward
5988434-01-01,287474,ward,Termas de Río Hondo Branch
